ACCESS-STARTED,17/5/2019,15:34:12,KM450230 
2019-5-17|15:34:12,29.69,33.34,KM450230
2019-5-17|15:34:14,29.65,32.98,KM450230
2019-5-17|15:34:15,29.61,32.87,KM450230
2019-5-17|15:34:17,29.57,32.65,KM450230
2019-5-17|15:34:17,29.55,32.61,KM450230
2019-5-17|15:34:19,29.52,32.54,KM450230
2019-5-17|15:34:20,29.50,32.51,KM450230
2019-5-17|15:34:21,29.48,32.47,KM450230
2019-5-17|15:34:22,29.47,32.45,KM450230
2019-5-17|15:34:24,29.45,32.39,KM450230
2019-5-17|15:34:25,29.44,32.36,KM450230
2019-5-17|15:34:25,29.43,32.34,KM450230
2019-5-17|15:34:27,29.42,32.24,KM450230
2019-5-17|15:34:29,29.41,32.16,KM450230
2019-5-17|15:34:30,29.40,32.09,KM450230
ACCESS-STOPPED,17/5/2019,15:34:39,22
